City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,-0.05,99,100,1.94,SJ,1702347208
1,puerto ayora,-0.7393,-90.3518,24.17,86,10,2.85,EC,1702347208
2,leer,53.2316,7.461,7.19,92,90,3.48,DE,1702347208
3,saint-joseph,-21.3667,55.6167,23.21,76,41,3.7,RE,1702347208
4,ballina,-28.8667,153.5667,28.77,57,65,3.54,AU,1702347208
5,port-aux-francais,-49.35,70.2167,6.13,98,100,9.61,TF,1702347209
6,geraldton,-28.7667,114.6,36.23,11,0,4.63,AU,1702347209
7,araripe,-7.2125,-40.0461,22.62,50,49,1.71,BR,1702347013
8,kifri,34.6959,44.9661,19.05,30,100,2.52,IQ,1702347210
9,san patricio,28.017,-97.5169,17.91,56,98,2.9,US,1702347210
10,uturoa,-16.7333,-151.4333,26.8,78,100,8.69,PF,1702347210
11,blackmans bay,-43.0167,147.3167,24.18,51,100,0.89,AU,1702347210
12,dudinka,69.4058,86.1778,-24.62,98,100,6.26,RU,1702347210
13,mount pearl,47.5166,-52.7813,11.85,93,75,11.32,CA,1702347210
14,adamstown,-25.066,-130.1015,21.82,60,46,1.09,PN,1702347210
15,puerto natales,-51.7236,-72.4875,6.73,87,95,2.78,CL,1702347210
16,gettorf,54.4,9.9833,4.5,93,100,2.57,DE,1702347211
17,port elizabeth,-33.918,25.5701,17.4,90,0,7.2,ZA,1702347211
18,machico,32.7,-16.7667,19.51,82,20,1.54,PT,1702347211
19,tindouf,27.6711,-8.1474,14.91,33,94,4.42,DZ,1702347211
20,okha,53.5739,142.9478,-19.8,85,41,10.05,RU,1702347211
21,nahiyat ash shinafiyah,31.5874,44.6602,19.99,32,100,3.91,IQ,1702347212
22,alaghsas,17.0187,8.0168,18.27,34,0,9.38,NE,1702347212
23,gilgit,35.9221,74.3087,2.67,38,89,1.06,PK,1702347212
24,ushuaia,-54.8,-68.3,9.81,53,20,2.57,AR,1702347212
25,magadan,59.5667,150.8,-8.38,94,100,3.11,RU,1702347212
26,nagato,34.3833,131.2,14.73,84,100,9.29,JP,1702346938
27,yellowknife,62.456,-114.3525,-25.88,96,81,2.84,CA,1702347212
28,la passe,45.5549,-0.8967,14.13,90,100,4.24,FR,1702347212
29,edinburgh of the seven seas,-37.0676,-12.3116,14.12,92,100,8.6,SH,1702347213
30,pisco,-13.7,-76.2167,19.03,88,0,6.69,PE,1702347213
31,luganville,-15.5333,167.1667,26.33,72,100,4.99,VU,1702347214
32,hebi,35.8992,114.1925,-2.34,85,16,1.47,CN,1702347132
33,gizo,-8.103,156.8419,28.11,75,87,4.29,SB,1702347214
34,albany,42.6001,-73.9662,0.53,75,23,4.18,US,1702347184
35,kragero,58.8693,9.4149,-0.31,90,98,5.28,NO,1702347215
36,kupang,-10.1667,123.5833,30.32,84,75,3.6,ID,1702347215
37,punta arenas,-53.15,-70.9167,9.06,71,75,6.17,CL,1702347215
38,yarmouth,41.7057,-70.2286,5.57,75,0,11.18,US,1702347215
39,lompoc,34.6391,-120.4579,13.85,85,0,7.6,US,1702347215
40,severo-yeniseyskiy,60.3725,93.0408,-40.24,100,58,0.45,RU,1702347215
41,cowra,-33.8333,148.6833,35.64,25,87,0.3,AU,1702347215
42,sao gabriel da cachoeira,-0.1303,-67.0892,23.43,98,85,0.31,BR,1702347216
43,flying fish cove,-10.4217,105.6791,27.82,69,75,3.6,CX,1702347216
44,papatowai,-46.5619,169.4708,11.16,53,75,9.36,NZ,1702347216
45,hawaiian paradise park,19.5933,-154.9731,25.02,90,100,2.06,US,1702347216
46,nemuro,43.3236,145.575,1.71,100,100,7.46,JP,1702347216
47,longyearbyen,78.2186,15.6401,-7.09,63,75,8.23,SJ,1702347216
48,palestine,31.9216,35.2033,11.05,83,0,1.68,PS,1702347216
49,margaret river,-33.95,115.0667,25.43,46,0,2.65,AU,1702347217
50,jamestown,42.097,-79.2353,1.77,80,100,3.6,US,1702346971
51,sinabang,2.4803,96.3801,25.7,88,100,2.13,ID,1702347217
52,hasaki,35.7333,140.8333,14.05,92,100,6.56,JP,1702346985
53,raduzhnyy,62.0961,77.475,-28.86,92,100,3.03,RU,1702347217
54,grand falls-windsor,48.9332,-55.6649,14.17,85,100,5.36,CA,1702347217
55,happy valley-goose bay,53.3168,-60.3315,-0.83,86,100,3.6,CA,1702347217
56,kingston,17.997,-76.7936,27.53,78,20,3.09,JM,1702347138
57,bengkulu,-3.8004,102.2655,27.07,77,72,0.83,ID,1702347178
